ID,Review.ID,Date,Title,Source.Name,Related,Sellers,Buyers,Brokers,Surgery
4057,252,1/4/2004,The joy a new kidney brings Six months ago his six-year-old son was near death for want of an organ donor. Robert Gore-Langton offers thanks to the family who gave Hal 'the gift of life' - and wishes more people would resolve to do the same,The Sunday Telegraph (London),1,India,"Britain, India","India, London","India, United Kingdom"
4065,254,1/7/2004,"I am, therefore I sell: There aren't enough donors, so it's time to let people sell their organs legally.",Ottawa Citizen,1,Brazil,United States,"South Africa, Brazil",South Africa
4459,256,1/15/2004,Ex- Israeli army officer arrested in Brazil charged with illegal organ trafficking,Agence France Presse - English,1,"Brazil, Russia, Romania","Israel, Iran, United States 
, South Africa","Israel, Brazil, South Africa",South Africa
4473,258,1/23/2004,S. Africa arrests more suspects in kidney trafficking scheme,Reuters Health Medical News,1,Brazil,Israel,"South Africa, Israel, Brazil","South Africa, Israel"
4900,264,2/23/2004,BRAZIL : POOR SELL ORGANS TO TRANS-ATLANTIC TRAFFICKING RING,Inter Press Service,1,"Brazil, Russia, Romania, Philippines","Israel, United States, Iran","Israel, Brazil, South Africa, Netherlands, United States",South Africa
5258,266,2/29/2004,"At least 30 Brazilians sold kidneys, price got cheaper as supply increased, panel told.",RDS Business & Industry Database,1,Brazil,Israel,"Israel, South Africa, Brazil",South Africa
6294,277,5/23/2004,Tracking the Sale of a Kidney On a Path of Poverty and Hope,The New York Times,1,"Brazil, South Africa","Israel, United States, South Africa","Israel, South Africa, Turkey","South Africa, Israel, Brazil"
7822,297,9/11/2004,Indian organ gang sells 50 kidneys,dpa international (Englischer Dienst),1,India,India,India,India
10072,310,1/25/2005,Kerala Police probe kidney sale,HT Syndication,1,India,India,India,India
18022,353,12/11/2005,UK kidney patients head for China: Britons are being targeted by an internet company offering the organs of dead prinsoners in a trade condemned as 'disgusting' by surgeons,The Observer (London),1,China,"Britain, China","Britain, China",China
19986,367,1/29/2006,Pakistan to enact law to curb illegal kidney trade,dpa international (Englischer Dienst),1,"Pakistan, India","India, Pakistan","Pakistan, India","Pakistan, India"
21412,376,3/22/2006,China's human organ industry to the rescue of despairing Japanese,The Irish Times,1,China,"Japan, China","Japan, China","China, Japan"
22546,382,4/19/2006,Nigeria Human Organs Racketeering,Africa News,1,"Egypt, India","Saudi Arabia, Egypt","Egypt, India, China, Brazil","Egypt, China, India, Brazil"
25640,401,8/6/2006,State determined to nail freed kidney-trade accused,Sunday Times (South Africa),1,Brazil,Israel,"Brazil, Israel, Russia",South Africa
28100,407,10/1/2006,Purchased kidney may have been used in transplant at Ehime hospital,Japan Economic Newswire,1,Japan,Japan,Japan,Japan
1645,430,1/14/2007,Indian state probes sale of organs by tsunami victims: report,Agence France Presse - English,1,India,India,India,India
2964,443,2/27/2007,Kidney 'is sold for a tractor',The Evening Standard (London),1,Pakistan,Pakistan,Pakistan,Pakistan
5132,458,5/3/2007,Israel Transplant Society regrets surgeon's arrest in Turkey for alleged organ sales,The Jerusalem Post,1,Israel,Israel,"Israel, Turkey","Turkey, Israel"
5480,472,5/20/2007,Scots fuel &pound,The Sunday Times (London),1,Pakistan,"Scotland, United Kingdom, Pakistan","Pakistan, United States","Pakistan, India, Australia, United Kingdom"
5750,483,5/27/2007,Business is brisk at 'kidney bazaar' INDIATsunami survivors lured into becoming donors for Tamil Nadu 's illegal transplant racket INDIA,The Toronto Star,1,India,India,India,India
5754,486,5/27/2007,POLICE SWOOP OVER STOLEN KIDNEY SCAM MERRCURY REPORTER,Sunday Mercury,1,Pakistan,Pakistan,Pakistan,Pakistan
6809,499,7/25/2007,Organ transplant ring,"The Advertiser/Sunday Mail (Adelaide, South Australia)",1,Israel,Israel,"Israel, Ukraine",Ukraine
8153,526,10/2/2007,PAKISTAN : ORGAN PEDDLERS PREY ON POOR NEIGHBORHOODS,Inter Press Service,1,Pakistan,"United States, United States",Pakistan,Pakistan
8505,530,10/12/2007,Ukraine police arrest Israeli in black market kidney case,dpa international (Englischer Dienst),1,Ukraine,Israel,"Israel, Ukraine",Ukraine
8521,532,10/18/2007,Kidney donor case to continue,The Mercury (South Africa),1,Brazil,Israel,"Brazil, Israel, Canada, South Africa, Germany","South Africa, Brazil, Israel, Canada, Germany"
9193,539,11/14/2007,"It's no holiday; Companies try to make medical tourism seem like purchasing any other consumer item, but consumers should know how kidneys are bought and sold",Ottawa Citizen,1,"Philippines, India, China, Pakistan, Canada","Canada, Australia","Philippines, Canada, Australia, India, China, Pakistan","Philippines, Canada, India, China, Pakistan, Singapore, Australia"
9543,540,12/3/2007,"Transplant tourist flew 7,000 miles hoping for a pounds 40,000 kidney",The Western Mail,1,"Philippines, UK","UK, Philippines, China","Philippines, China","China, Philippines, UK"
9846,543,12/11/2007,FOCUS: Philippine surfing paradise becomes goldmine for organ peddlers,Japan Economic Newswire,1,Philippines,"Japan, Philippines",Philippines,Philippines
10515,546,1/9/2008,Tamil Nadu villagers sell organs to survive acute poverty,Hindustan Times,1,India,India,India,India
10518,547,1/12/2008,Egyptian woman says husband sold her kidney,Agence France Presse - English,1,Egypt,Egypt,Egypt,Egypt
10534,549,1/25/2008,"In Gurgaon, about 500 kidneys sold illegally in six years",HT Syndication,1,India,"Britain, Greece","India, Britain, Greece",India
11298,577,1/31/2008,Time for healthy S'poreans to come forward and donate kidneys,The Straits Times (Singapore),1,India,"Singapore, India","India, Singapore","India, Singapore"
11619,601,2/8/2008,Hotel slip-up reportedly snares kidney 'kingpin',The Toronto Star,1,India,"Canada, India","India, Nepal",India
11631,611,2/9/2008,"Alleged chief of kidney scam nabbed in Nepal Nepali police arrest a key suspect in Indian organ sale case, hunt still on for his brother",The Straits Times (Singapore),1,India,India,India,India
11638,618,2/10/2008,DOC HORRORS GARDAI IN HUNT FOR SURGEONS OVER EUR15M ILLEGAL TRANSPLANT SCAM,Daily Mirror,1,India,"Ireland, America, Germany, France, Canada, Britain, India","India, Ireland",India
11915,634,2/19/2008,'Dr. Horror's' brother in custody Kidney harvesting suspect said to have helped with surgeries,The Toronto Star,1,India,India,"India, Nepal",India
12531,642,3/21/2008,Prof Rizvi decries violation of anti-organ trade law,Pakistan Press International,1,Pakistan,Kuwait,"Pakistan, Kuwait",Pakistan
13847,668,5/21/2008,CAPITAL VIEW Human organ trafficking,BusinessWorld,1,"Philippines, Brazil, India, China","Israel, South Africa, India, China, United States, Philippines, Brazil","Brazil, India, Philippines, South Africa, China","South Africa, India, China, Philippines, United States, Brazil"
14200,669,6/5/2008,Nepali gang sold women to brothels after selling their kidneys,HT Syndication,1,Nepal,India,India,India
14948,673,6/28/2008,ROUTINE CHECK EXPOSES KIDNEY RACKET IN MP,UNI (United News of India),1,India,India,India,India
14956,678,6/30/2008,Greek woman jailed over Indian organ trade scandal,Agence France Presse - English,1,India,Greece,"Greece, India","India, Greece"
16013,705,8/4/2008,Not a cent paid for their home She was unaware that hubby had sold his kidney and is still struggling to clear the mortgage payments,The Straits Times (Singapore),1,Indonesia,"Indonesia, Singapore",Singapore,Singapore
16661,720,9/3/2008,"RETAIL MAGNATE JAILED,FINED $17000 FOR BUYING KIDNEY FROM INDONESIAN",UNI (United News of India),1,Indonesia,Singapore,Singapore,Singapore
17365,735,9/21/2008,EIGHT NABBED FOR INVOLVEMENT IN INTER-STATE KIDNEY RACKET,UNI (United News of India),1,India,India,India,India
17628,736,9/29/2008,Kidney trafficking probe continues,Daily News (South Africa),1,Brazil,Israel,"Brazil, Israel",South Africa
18586,743,11/1/2008,TWO BOOKED FOR FORCING DEBT-STRAPPED YOUTH TO SELL HIS KIDNEY,HT Syndication,1,India,India,India,India
19061,746,11/19/2008,Kidney-for-sale middleman starts 14-month jail term after appeal dismissed,Channel NewsAsia,1,Indonesia,Singapore,"Singapore, Indonesia",Singapore
19076,749,11/28/2008,Kidney trafficking case reopened,Daily News (South Africa),1,Brazil,Israel,"Israel, South Africa, Brazil",South Africa
20698,773,3/18/2009,Egypt pressured to end underground organ trade,Associated Press International,1,Egypt,Saudi Arabia,Egypt,"Egypt, China, Pakistan, Philippines"
21965,781,5/1/2009,"I BOUGHT A KIDNEY FROM A POOR AND DESPERATE MUM.. EXCLUSIVE. IT'S ILLEGAL ACROSS MOST OF THE WORLD BUT IN SOME COUNTRIES YOU CAN STILL PAY FOR ORGANS. HERE, ONE WOMAN EXPLAINS WHY SHE MADE THE CONTROVERSIAL DECISION TO BUY SOMEONE'S KIDNEY.",Daily Mirror,1,Pakistan,"Britain, Pakistan",Pakistan,"Pakistan, Britain"
22352,788,6/15/2009,"Transplantation of Human Organs and Tissues Ordinance, 2007 not the ultimate solution: Illegal kidney 'donation' trade goes on",Daily Times (PK),1,Pakistan,US,Pakistan,Pakistan
23510,807,7/25/2009,Organ 'matchmaker'?,The Bismarck Tribune,1,Israel,United States,"United States, Israel",United States
24228,820,8/3/2009,EDITORIAL: Pay organ donors to ease shortage,The Lima News (Ohio),1,Israel,"United States, Israel","United States, Israel","United States, Israel"
24253,823,8/13/2009,Illegal kidney trade: Andhra engineer arrested in Nadiad,Indian Express,1,India,India,India,India
24575,832,8/23/2009,"MAN SAYS HE GOT $20,000 IN N.Y. FOR SELLING KIDNEY",Pittsburgh Post-Gazette,1,Israel,United States,"Israel, United States","United States, Israel"
24905,838,9/3/2009,"EGYPT : CAIRO ORGAN TRADE RING BUSTED, 3 SURGEONS ARRESTED",ANSAmed - English,1,Jordan,Saudi Arabia,Egypt,Egypt
25604,851,10/22/2009,ISRAELI SURGEON EXTRADITED TO ISRAEL OVER ORGAN TRAFFICKING CHARGES,IPR Strategic Business Information Database,1,Israel,Israel,"Israel, Ukraine","Ukraine, Israel"
25767,857,11/15/2009,Why would you sell your heart?,The Financial Express,1,"India, Iran","India, Iran","India, Iran","India, Iran"
25984,866,12/31/2009,UAE : Egypt debates new law to halt organ trade,Right Vision News,1,"Egypt, Syria, Jordan","Egypt, Syria, Jordan, Saudi Arabia, Iran","Syria, Jordan, Egypt",Egypt
26125,879,3/2/2010,FED: Australians involved in dealings with Dr Horror,AAP Newsfeed,1,India,Australia,"India, Australia",India
26126,880,3/3/2010,Life and death incisions: kidney trade comes at a high price for both sides,Sydney Morning Herald (Australia),1,"Palestine, China, Philippines","Australia, Lebanon, China, Philippines","India, China, Philippines","China, Philippines, Iraq, India, Australia, Lebanon"
26128,881,3/3/2010,ILLEGAL CLINICS Indian organs sold off here,"The Advertiser/Sunday Mail (Adelaide, South Australia)",1,India,Australia,India,India
26438,907,6/25/2010,Yemeni arrested for organ trafficking,Agence France Presse - English,1,"Yemen, Egypt","Egypt, Jordan, Yemen","Yemen, Egypt, Jordan",Egypt
26480,909,7/18/2010,Nagpur man in cop net for selling Delhi youth's kidney,Mail Today,1,India,India,India,India
26522,913,8/12/2010,Azerbaijan implicated in the scandal with gang of illegal transplant surgeons from Ukraine,ARMINFO News Agency,1,"Ukraine, Russia, Moldova, Belarus",Israel,"Ukraine, Israel, Azerbaijan, Ecuador, Russia","Azerbaijan, Ecuador"
26761,935,10/23/2010,Gift of life,The Express Tribune,1,Pakistan,"Oman, Pakistan","Pakistan, Oman",Pakistan
26786,936,11/2/2010,KIDNEY SOLD FOR LAND,States News Service,1,Cambodia,India,India,India
26803,938,11/9/2010,African hospital pleads guilty in organ trafficking case,Reuters Health Medical News,1,South Africa,South Africa,South Africa,South Africa
26865,950,11/24/2010,Roundup: Organ trafficking syndicate found in South Africa by Amy Jephta,Xinhua General News Service,1,"Brazil, Romania",Israel,"South Africa, Israel, Brazil, Romania",South Africa
27331,1016,5/7/2011,CHINA: BLACKMARKET FOR HUMAN ORGANS AIDED BY INTERNET,Inter Press Service,1,China,China,China,China
27404,1022,6/2/2011,"Chinese teen sells kidney for 2,000 pounds to buy iPad 2",Asian News International (ANI),1,China,China,China,China
27488,1036,6/5/2011,crazy world,Sunday Mercury,1,China,China,China,China
27506,1040,6/13/2011,Yuan a Kidney?,Slate Magazine,1,China,"China, United States, Philippines, Peru, Kosovo, Turkey","China, Turkey, Philippines, India, Peru, Kosovo, United States 
, China, Turkey, Philippines, India, Peru, Kosovo, United States","China, United States, Philippines, Peru, Turkey, Kosovo, India"
27518,1042,6/18/2011,Boy sold kidney to buy iPad,Weekly Cutting Edge,1,China,China,China,China
27556,1051,6/30/2011,RPF nabs two on charges of selling human organs,UNI (United News of India),1,India,India,India,India
27571,1056,7/6/2011,A country that is a virtual shop,Columnists India/Pak,1,"Pakistan, Oman","Oman, Oman",Pakistan,Pakistan
27627,1068,7/28/2011,Police investigate first case of organ trafficking EXCLUSIVE,Sydney Morning Herald (Australia),1,Philippines,Australia,"Australia, Philippines","Australia, Philippines"
27685,1080,8/10/2011,Vietnam charges 4 for alleged kidney trafficking,Associated Press Online,1,"Vietnam, China",China,"Vietnam, China",China
27727,1086,8/21/2011,A country that is a virtual shop,Sunday Times (Islamabad),1,"Pakistan, Oman","Oman, Oman",Pakistan,Pakistan
27796,1098,9/16/2011,Two more suspects arrested,Bangladesh Government News,1,"Bangladesh, India",India,"Bangladesh, India",India
28063,1147,12/2/2011,The body bazaar,EKantipur.com,1,"India, Nepal, China, Brazil, Iran","India, Israel, United States","India, China, Brazil, Iran","India, China, Brazil, Iran"
28197,1156,1/22/2012,'Dr. Vulture's' kidney factory North York man who bought an organ abroad is key witness in transplant sale trial in Kosovo,The Toronto Star,1,"Russia, Kazakhstan, Moldova, Turkey, Ukraine, Russia","Canada, Germany","Israel, Kosovo, Turkey, Canada","Kosovo, Turkey, Canada"
28341,1170,3/2/2012,'Kidney gang' charged over illegal trade,thetimes.co.uk,1,China,China,China,China
28370,1173,3/10/2012,The kidney job,Daily Times,1,Pakistan,Pakistan,Pakistan,Pakistan
28424,1181,3/27/2012,Illegal trade in human kidneys flourishing,Shanghai Daily (Benchmark),1,China,China,China,China
28548,1223,4/9/2012,Chinese Teen Sells Kidney For An iPad,Newstex Blogs,1,China,China,China,China
28557,1225,4/10/2012,The noxious weed,Pakistan Today,1,China,China,China,China
28574,1227,4/13/2012,"Chinese Teen Sells Kidney For iPhone, iPad",Techtree.com,1,"China, India",China,China,China
28600,1229,4/21/2012,On sale: Human organs!,Kashmir Times (india),1,"China, India, Pakistan","China, India, Pakistan","China, India, Pakistan","China, India, Pakistan"
28653,1233,5/7/2012,"China organ rings raided, 20 rescued",UPI (United Press International),1,China,"Indonesia, China","China, Indonesia","Indonesia, China"
28773,1247,5/28/2012,ILLEGAL KIDNEY TRADE 'BOOMING',States News Service,1,"China, India, Pakistan","China, India, Pakistan, United Kingdom",China,"China, India, Pakistan, United Kingdom"
28812,1267,6/1/2012,Guardian Weekly: Poor Iranians compete to sell their kidneys: It is the only country where the organ trade is legal and flourishing,The Guardian Weekly,1,Iran,Iran,Iran,Iran
28948,1275,6/29/2012,Black Market for Body Parts Spreads Among the Poor in Europe,The New York Times,1,"Serbia, Macedonia, Germany","Germany, Macedonia","Germany, Macedonia","Germany, Serbia"
29029,1295,7/23/2012,Cash for kidneys: Pakistan s flourishing trade in illegal transplants,Newstex Blogs,1,Pakistan,"Oman, Pakistan",Pakistan,Pakistan
124,1325,11/10/2012,"Man sells girlfriend's kidney, lands in jail",New India Express,1,India,India,India,India
135,1327,11/13/2012,She sold her kidney to protect son,The Times of India (TOI),1,India,India,India,India
162,1331,11/17/2012,"A house of canards to sell kidneys DNA visits the house in Bangalore shown as the residence of a kidney donor, to find that police verification of the donor's residence and relationship with a kidney recipient can be a farce",DNA,1,India,India,India,India
207,1336,11/27/2012,EU focuses on SA organ trafficking Kidney scandal first for research,Pretoria News (South Africa)/Pretoria News Weekend (South Africa),1,Brazil,Israel,"Israel, Brazil, South Africa, Sweden, Netherlands",South Africa
219,1337,11/29/2012,9 convicted in illegal kidney transplant,China Daily European Edition,1,China,China,China,China
290,1349,12/13/2012,Fifteen accused of trading human organs,China Daily European Edition,1,China,China,China,China
467,1354,1/5/2013,Ramnagara police bust kidney transplantation racket: 7 held,UNI (United News of India),1,India,India,India,India
729,1364,2/15/2013,SHRC seeks report on Guntur kidney trade,The Times of India (TOI),1,India,India,India,India
824,1370,3/10/2013,A grim tale of economic woes,The New Nation (Bangladesh),1,Bangladesh,United States,"Bangladesh, United States",Bangladesh
1078,1377,4/7/2013,Two kidney racketeers arrested,My Republica,1,India,India,India,India
1133,1379,4/20/2013,"'Would you sell your organs?' Organ-trafficking trial sheds light on sordid, dangerous business",The Toronto Star,1,"Russia, Ukraine","Canada, Germany, Israel, Poland, Ukraine, Turkey","Turkey, Canada, Kosovo, Russia, Israel","Iran, Kosovo, South Africa"
1172,1386,4/29/2013,Kosovo : 3 get jail time in organ trafficking case,The Associated Press,1,"Israel, Russia, Ukraine, Kazakhstan, Belarus, Turkey","Israel, Poland, Canada, U.S., Germany, Turkey","Kosovo, Turkey, Israel, Ukraine, Canada, Germany, Poland, United States, Belarus, Russia, Kazakhstan",Kosovo
1186,1393,4/30/2013,Organ gang behind illegal transplants,The Herald (Glasgow),1,"Turkey, Soviet Union",Israel,"Kosovo, Turkey, Israel",Kosovo
1527,1429,6/15/2013,Kidney racket case: CB-CID probe likely,New India Express,1,India,India,India,India
1668,1437,7/11/2013,Chennai man arrested in illegal kidney racket,New India Express,1,India,India,India,India
1704,1440,7/18/2013,???Cadaver laws,Newstex Blogs,1,"Pakistan, Netherlands","Pakistan, Netherlands","Netherlands, Pakistan","Pakistan, Netherlands"
1844,1444,8/2/2013,India 's great organ bazaar,Times of India (Electronic Edition),1,India,India,India,"India, Singapore"
1916,1447,8/19/2013,Police bust kidney-trafficking ring in central China,Philippines News Agency,1,China,China,China,China
1969,1455,8/28/2013,???Elshad Abdullayev declared internationally wanted,Newstex Blogs,1,Ukraine,"Israel, France, United States","Azerbaijan, Israel, Ukraine, France, United States",Azerbaijan
2391,1475,11/12/2013,Cash for kidneys offer lures Britons Patients promised illegal transplants at hospital ; Sri Lankan cash for kidney transplant offer lures Britons,The Times (London),1,"India, UK",UK,"India, Sri Lanka, United Kingdom","India, United Kingdom"
3389,1503,4/23/2014,Trafficking ring lured desperate young women to Turkey in body organs-for-cash scheme,The Jerusalem Post,1,Israel,Israel,"Israel, Turkey",Turkey
3451,1513,5/8/2014,Racket Not Ruled out in 'Kidney Sale' Case: Cops,New India Express,1,India,India,India,India
3519,1520,5/24/2014,12 suspects await verdict as trial closes on organ trading case,Newstex Blogs,1,China,China,China,China
3614,1535,6/8/2014,"After Cuttack , Bhubaneswar man cries kidney sale",The Times of India (TOI),1,India,India,India,India
3617,1536,6/8/2014,Pakistan : CIA Cantt arrest member of kidney seller group,Right Vision News,1,Pakistan,Pakistan,Pakistan,Pakistan
3674,1537,6/10/2014,Special team to zero in on kidney racket victims,The Times of India (TOI),1,India,India,India,India
3780,1546,6/25/2014,Nepal 's Organ Trail: How traffickers steal kidneys,CNN.com,1,Nepal,India,India,India
3812,1552,7/2/2014,Cambodian police arrest two suspects for human organ trafficking,Xinhua General News Service,1,Cambodia,Thailand,"Cambodia, Thailand",Thailand
3958,1569,7/30/2014,"5 Arrested for Illegal Kidney Sale Bid, Kingpin Absconding",New India Express,1,India,India,India,India
3996,1571,8/7/2014,How Bengal's poor sell kidneys in other states,The Times of India (TOI),1,India,India,India,India
4019,1573,8/8/2014,Gang involved in kidney business arrested,Daily Times (PK),1,Pakistan,Pakistan,Pakistan,Pakistan
4109,1574,8/11/2014,Organ trafficking ring allegedly smuggled human kidneys in seafood containers,Newstex Blogs,1,China,China,China,China
4167,1581,8/20/2014,ED attached Dr Ganesan assets in Kidney racket case,Bureaucracy Today,1,India,India,India,India
4172,1582,8/22/2014,Verdict on China's largest organ trading case,China Daily,1,China,China,China,China
4681,1600,11/21/2014,Alleged kidney sellers arrsted before boarding India -bound plane at Karachi airport,The News Tribe,1,"India, Pakistan",India,"India, Pakistan",India
4918,1603,12/16/2014,Haryana Information Commission brings Gurgaon's Medanta Medicity and Artemis Hospital under RTI purview,Merinews (India),1,India,India,India,India
4988,1604,1/4/2015,"Bangladesh organ trade continues unabated, targeting children, the poor",Weekly Cutting Edge,1,"Bangladesh, India",India,"India, Bangladesh","India, Bangladesh"
5217,1613,2/17/2015,kidney trade busted; doctor and 3 others arrested,Siasat Daily (India),1,India,India,"India, Sri Lanka, Iran","Iran, Sri Lanka"
5426,1623,3/27/2015,Three Cambodians convicted in first kidney trafficking case,Agence France Presse - English,1,"Cambodia, Vietnam","Cambodia, Thailand","Cambodia, Thailand",Thailand
5872,1653,5/28/2015,Why organ trafficking thrives in India,MINT,1,India,India,India,India
5876,1654,5/29/2015,ED to probe kidney sale racket in Cuttack,The Times of India (TOI),1,India,India,India,India
6124,1665,7/11/2015,Man Who Bought Kidney from Labourer Held,New India Express,1,India,India,India,India
6228,1672,7/31/2015,Five held in kidney case,The Telegraph (India),1,India,"Sri Lanka, India",India,"Sri Lanka, India"
6479,1685,9/2/2015,We have to fight poverty to stop kidney business,The New Nation (Bangladesh),1,Bangladesh,India,"India, Bangladesh",India
6528,1688,9/13/2015,Woman sells kidney for Rs3L to marry off daughter,The Pioneer (India),1,India,India,India,India
6706,1703,10/8/2015,Need a kidney? Inside the world's biggest organ market,News Chronicle (Nigeria),1,"India, Pakistan, Sri Lanka, Iran","Canada, Israel, Britain, Saudi Arabia, United Arab Emirates, Bahrain","India, Sri Lanka, Bangladesh, Iran, Nepal 
Pakistan","India, Sri Lanka, Iran"
7368,1742,1/20/2016,Kidney scam: Cops yet to act against docs,The Times of India (TOI),1,India,"Sri Lanka, India",India,"Sri Lanka, India"
7486,1747,1/27/2016,Kidneys trade jail,The Sun (England),1,Turkey,Turkey,Turkey,Turkey
7488,1748,1/28/2016,Sri Lanka bans organ transplants for foreigners over scandal,thetimes.co.uk,1,India,"India, UK",India,"Sri Lanka, India"
7499,1751,1/29/2016,Sri Lanka halts kidney transplants,The Times (London),1,India,"India, Britain",India,"Sri Lanka, India"
7570,1755,2/18/2016,Indonesian police track organ trafficking ring targeting poor villagers,AM(ABC Transcript),1,Indonesia,Indonesia,Indonesia,Indonesia
7679,1763,3/15/2016,Kidney selling racket busted,The Times of India (TOI),1,India,India,India,India
7737,1780,3/28/2016,Village kidney racket with wide links,Indian Health Care News,1,India,India,India,India
7852,1783,4/4/2016,Oman health: Sheer hell of illegal organ ops revealed,Times of Oman,1,Pakistan,Oman,"Pakistan, Oman","Pakistan, India"
8022,1788,5/10/2016,"Harry Wu, Chinese dissident - obituary",telegraph.co.uk,1,China,United States,China,China
8175,1794,6/3/2016,"Top hospital says it is 'victim of a well-orchestrated operation to cheat patients', probe shows gang's reach in Sri Lanka , Thailand",MailOnline,1,"India, Sri Lanka, Bihar, India, West Bengal, India, Kanpur, India, Kolkata, West Bengal","India, Sri Lanka, Thailand","India, Sri Lanka, Thailand",India
8246,1818,6/5/2016,Kidney racket at Apollo Hospital: How to stop illegal transplants,The Financial Express,1,India,India,"India, Iran, Spain",India
8274,1833,6/7/2016,Indian police make new arrests in kidney sale racket,Agence France Presse - English,1,India,India,India,India
8289,1840,6/8/2016,Kidney trafficking mastermind being taken to Delhi,IANS-English,1,India,India,India,India
8306,1849,6/9/2016,GLOBAL SNAPSHOT,The Cairns Post (Australia),1,India,India,India,India
8338,1863,6/13/2016,Illegal organ trade in the country,Web Newswire,1,India,India,India,India
8350,1864,6/16/2016,"Greece : Turkish , Israeli Gangs Engaged in Organ Trafficking of Syrian Refugees",Thai News Service,1,Syria,Israel,"Turkey, Israel, Ukraine, Sri Lanka, Kosovo, Greece",Turkey
8407,1870,6/28/2016,Delhi police in city for kidney racket probe,The Times of India (TOI),1,India,India,India,India
8418,1871,6/29/2016,Kidney recipient denied bail by the court,American Banking and Market News,1,India,India,India,India
8456,1874,7/9/2016,Kidney rackets rampant across India as crackdown proves difficult,Hindustan Times,1,"India, Nepal",India,"India, Nepal",India
8481,1878,7/15/2016,"Kidney sale nixed in nick of time at Powai hospital, 4 held",The Times of India (TOI),1,India,India,India,India
