Date,Title,Source.Name,ID,predicted_related,Sellers,Buyers,Brokers,Surgery,group
2009-03-18T00:00:00Z,Egypt pressured to end underground organ trade,Associated Press International,20698,1,Egypt,Saudi Arabia,Egypt,Egypt,603
2009-07-16T00:00:00Z,Man must choose between selling kidney or child,CNN.com,23129,1,"Iraq, Pakistan, Saudi Arabia","Pakistan, Saudi Arabia","Iraq, Pakistan, Saudi Arabia","Iraq, Pakistan",623
2009-07-22T00:00:00Z,Israelis and Rabbis caught in US crime scandals,AlArabiya.net,23140,1,Israel,Israel,Israel,"Israel, United States",625
2009-07-25T00:00:00Z,Organ 'matchmaker'?,The Bismarck Tribune,23510,1,Israel,"Israel, United States","Israel, United States","China, India, Israel, United States",640
2009-08-13T00:00:00Z,Illegal kidney trade: Andhra engineer arrested in Nadiad,Indian Express,24253,1,"Iran, Israel","India, Iran, Israel, Singapore","Israel, Singapore","India, Israel, Singapore",657
2009-09-03T00:00:00Z,"EGYPT : CAIRO ORGAN TRADE RING BUSTED, 3 SURGEONS ARRESTED",ANSAmed - English,24905,1,"China, Saudi Arabia","China, Saudi Arabia",China,Egypt,668
2010-02-05T00:00:00Z,Kidney used in deadly transplant in Peru obtained from poor donor PERU -TRANSPLANTS,EFE Newswire - Americas in Focus,26060,1,Peru,Mexico,Mexico,Peru,709
2010-04-22T00:00:00Z,Israelis charged with human organ sales,BreakingNews.ie,26305,1,Israel,Israel,Israel,Israel,729
2010-07-18T00:00:00Z,Nagpur man in cop net for selling Delhi youth's kidney,Mail Today,26480,1,India,India,India,India,740
2010-08-12T00:00:00Z,Azerbaijan implicated in the scandal with gang of illegal transplant surgeons from Ukraine,ARMINFO News Agency,26522,1,"Azerbaijan, Israel, Ukraine",Israel,Israel,Azerbaijan,742
2010-09-16T00:00:00Z,Netcare charged with illegal transplants,Cape Times (South Africa),26585,1,"Brazil, Canada, Israel, Romania, South Africa","Brazil, Canada, Israel, Romania","Brazil, Canada, Israel","Brazil, South Africa",753
2010-10-16T00:00:00Z,Docs held in organs probe,Evening Times (Glasgow),26745,1,"Israel, Oman, Ukraine","Israel, Oman","Israel, Oman, Ukraine","South Africa, Ukraine",762
2010-11-09T00:00:00Z,African hospital pleads guilty in organ trafficking case,Reuters Health Medical News,26803,1,"Brazil, Israel, Romania, South Africa","Canada, Germany, Israel, South Africa, Turkey","Israel, Romania, South Africa, Turkey","Kosovo, South Africa",771
2010-11-13T00:00:00Z,EU ACTS ON KIDNEY SCAM AROUND THE WORLD,Daily Mirror,26821,1,"Israel, Kosovo, Turkey",Israel,"Israel, Turkey","Kosovo, South Africa",774
2010-11-14T00:00:00Z,Kidney allegation TOP STORIES FROM AROUND THE WORLD Mob violence in London and controversy in China,The Sunday Times (London),26825,1,"Canada, Israel, Turkey","Canada, Israel, Turkey","Israel, Turkey",Kosovo,775
2010-11-19T00:00:00Z,Human organs racket thrives in Moradabad,The Pioneer (India),26842,1,India,India,India,India,785
2010-11-24T00:00:00Z,Roundup: Organ trafficking syndicate found in South Africa by Amy Jephta,Xinhua General News Service,26865,1,Israel,Israel,Israel,South Africa,788
2010-12-03T00:00:00Z,Ukraine . Three MDs busted in organ-selling probe,Ottawa Citizen,26887,1,Ukraine,Azerbaijan,Azerbaijan,Azerbaijan,789
2010-12-15T00:00:00Z,EU police urges witnesses to back claims Kosovo rebels killed civilians for kidneys,The Canadian Press,26907,1,"Albania, Kazakhstan, Kosovo, Russia, Serbia, Switzerland, Turkey","Albania, Canada, France, Germany, Israel, Poland, Serbia, Switzerland","Albania, France, Kosovo, Serbia, Switzerland, Turkey","Albania, Kosovo, Turkey",817
2011-06-24T00:00:00Z,"Japan : Doctor, gangster face arrest on suspicion of illegal organ trade",Thai News Service,27540,1,"Japan, Philippines","Japan, Philippines","Japan, Philippines","Japan, Philippines",878
2011-07-06T00:00:00Z,A country that is a virtual shop,Columnists India/Pak,27571,1,"Indonesia, Pakistan","Indonesia, Qatar, Saudi Arabia","Indonesia, Pakistan",Pakistan,892
2011-09-29T00:00:00Z,Trading in organs,New Straits Times (Malaysia),27874,1,"Bangladesh, Belarus, China, Egypt, India, Pakistan, Turkey","Belarus, Turkey","Bangladesh, Belarus, Turkey","Kosovo, Turkey",962
2011-10-14T00:00:00Z,Medics held over organ trafficking,Shanghai Daily (Benchmark),27916,1,China,"India, Singapore, Thailand",China,China,971
2011-10-27T00:00:00Z,BROOKLYN MAN PLEADS GUILTY IN FIRST EVER FEDERAL CONVICTION FOR BROKERING ILLEGAL KIDNEY TRANSPLANTS FOR PROFIT,States News Service,27958,1,"Israel, United States","Israel, United States",Israel,"Israel, United States",998
2012-01-22T00:00:00Z,'Dr. Vulture's' kidney factory North York man who bought an organ abroad is key witness in transplant sale trial in Kosovo,The Toronto Star,28197,1,Japan,Japan,Japan,"Japan, Turkey",1018
2012-03-02T00:00:00Z,'Kidney gang' charged over illegal trade,thetimes.co.uk,28341,1,China,China,China,China,1031
2012-03-10T00:00:00Z,The kidney job,Daily Times,28370,1,Pakistan,Pakistan,Pakistan,Pakistan,1035
2012-03-22T00:00:00Z,Polish patient testifies in Kosovo organ trade trial,Agence France Presse - English,28407,1,"Canada, Israel, Poland","Canada, Poland","Canada, Israel, Turkey","Canada, Kosovo",1036
2012-03-27T00:00:00Z,Illegal trade in human kidneys flourishing,Shanghai Daily (Benchmark),28424,1,China,China,China,China,1043
2012-05-31T00:00:00Z,High Court Rules Doctor Guilty in Kidney Trafficking Case,Jiji Press Ticker Service,28804,1,Japan,Japan,Japan,Japan,1138
2012-06-01T00:00:00Z,Guardian Weekly: Poor Iranians compete to sell their kidneys: It is the only country where the organ trade is legal and flourishing,The Guardian Weekly,28812,1,"Bulgaria, Iran",Iran,"Bulgaria, China, India, Iran, Pakistan",Iran,1145
2012-07-11T00:00:00Z,NYC man faces sentencing for organ trafficking,Associated Press State & Local,28985,1,"Israel, United States","Israel, United States","Israel, New York",Israel,1174
2012-07-14T00:00:00Z,GLOBE trot,Hobart Mercury/Sunday Tasmanian (Australia),29010,1,Israel,"Israel, United States",Israel,Israel,1182
2012-12-03T00:00:00Z,Surgeon and six men jailed in 'kidney-for-iPad' case after teenager sells organs to buy Apple gadgets,MailOnline,246,1,"China, India","China, India","China, India","China, India",1236
2013-01-05T00:00:00Z,Ramnagara police bust kidney transplantation racket: 7 held,UNI (United News of India),467,1,India,India,India,India,1243
2013-04-20T00:00:00Z,"'Would you sell your organs?' Organ-trafficking trial sheds light on sordid, dangerous business",The Toronto Star,1133,1,"Israel, Poland, Russia, Turkey","Canada, France, Turkey, US","France, Germany, Israel, Russia, Turkey, US","Canada, Turkey",1269
2013-04-29T00:00:00Z,Kosovo : 3 get jail time in organ trafficking case,The Associated Press,1172,1,"Canada, Germany, Israel, Serbia, Turkey","Canada, Germany, Israel, Poland",Israel,Kosovo,1278
2013-04-30T00:00:00Z,Organ gang behind illegal transplants,The Herald (Glasgow),1186,1,"Canada, Germany, Israel, Kazakhstan, Kosovo, Poland, Russia, Turkey, Ukraine","Canada, Germany, Israel, Poland, United States","Canada, Germany, Israel, Soviet Union, Turkey, United States","Canada, Israel, Kosovo, Poland",1281
2013-05-01T00:00:00Z,Kosovo doctor headed gang of illegal kidney traffickers,The New Zealand Herald,1205,1,"Canada, Germany, Israel, Kosovo, Poland, Russia, Turkey","Canada, Germany, Israel, Poland, US","Israel, Kosovo, Turkey","Canada, Israel, Kosovo, Poland",1286
2013-05-23T00:00:00Z,Problems of Kidney transplant,Pakistan Observer,1385,1,Netherlands,Netherlands,Netherlands,Netherlands,1295
2013-06-11T00:00:00Z,"Mega illegal kidney deals unearthed in Dharmapuri, broker held",New India Express,1505,1,India,India,India,India,1296
2013-07-18T00:00:00Z,???Cadaver laws,Newstex Blogs,1704,1,Netherlands,Netherlands,Netherlands,Netherlands,1313
2013-07-24T00:00:00Z,The House That Organ Trading Bought Sells for $2 M.,New York Observer,1739,1,Israel,Israel,Israel,Israel,1318
2013-08-28T00:00:00Z,???Elshad Abdullayev declared internationally wanted,Newstex Blogs,1969,1,Israel,"France, Israel, United States",Israel,Azerbaijan,1327
2013-11-12T00:00:00Z,Cash for kidneys offer lures Britons Patients promised illegal transplants at hospital ; Sri Lankan cash for kidney transplant offer lures Britons,The Times (London),2391,1,"India, Sri Lanka","Britain, India, UK","India, Sri Lanka",Sri Lanka,1344
2013-11-14T00:00:00Z,Desperate Syrians sell organs to survive -,Korea Times,2414,1,Syria,Lebanon,Lebanon,Lebanon,1348
2014-03-10T00:00:00Z,"Facebook users offer to sell kidneys for ??20,000",Metro (UK),3046,1,"China, Hungary, India, Lebanon, Pakistan, UK","China, Hungary, India, Lebanon, Pakistan, UK","China, Hungary, India, Lebanon, Pakistan, UK","China, Hungary, India, Pakistan",1355
2014-04-23T00:00:00Z,Trafficking ring lured desperate young women to Turkey in body organs-for-cash scheme,The Jerusalem Post,3389,1,Israel,Israel,Israel,Turkey,1371
2014-05-06T00:00:00Z,Police Dismiss Foul Play in Kidney Case,New India Express,3439,1,India,India,India,India,1375
2014-05-24T00:00:00Z,12 suspects await verdict as trial closes on organ trading case,Newstex Blogs,3519,1,China,China,China,China,1390
2014-05-27T00:00:00Z,Five arrested for alleged kidney racket,Himalayan Times,3530,1,India,India,India,India,1395
2014-06-10T00:00:00Z,Special team to zero in on kidney racket victims,The Times of India (TOI),3674,1,India,India,India,India,1410
2014-06-25T00:00:00Z,Nepal 's Organ Trail: How traffickers steal kidneys,CNN.com,3780,1,India,India,India,India,1411
2014-07-02T00:00:00Z,Cambodian police arrest two suspects for human organ trafficking,Xinhua General News Service,3812,1,"India, Thailand","India, Thailand","India, Thailand","India, Thailand",1413
2014-07-30T00:00:00Z,"5 Arrested for Illegal Kidney Sale Bid, Kingpin Absconding",New India Express,3958,1,India,India,India,India,1431
2014-08-07T00:00:00Z,How Bengal's poor sell kidneys in other states,The Times of India (TOI),3996,1,India,India,India,India,1441
2014-08-11T00:00:00Z,Organ trafficking ring allegedly smuggled human kidneys in seafood containers,Newstex Blogs,4109,1,China,China,China,China,1458
2014-12-19T00:00:00Z,Black market kidney broker is released from prison,The Associated Press,4935,1,Israel,Israel,Israel,Israel,1485
2015-01-04T00:00:00Z,"Bangladesh organ trade continues unabated, targeting children, the poor",Weekly Cutting Edge,4988,1,India,India,India,"Bangladesh, India",1486
2015-02-17T00:00:00Z,kidney trade busted; doctor and 3 others arrested,Siasat Daily (India),5217,1,"India, Iran, Sri Lanka","India, Iran, Sri Lanka","India, Iran","Iran, Sri Lanka",1487
2015-03-27T00:00:00Z,Three Cambodians convicted in first kidney trafficking case,Agence France Presse - English,5426,1,Cambodia,Thailand,Cambodia,Thailand,1491
2015-10-08T00:00:00Z,Need a kidney? Inside the world's biggest organ market,News Chronicle (Nigeria),6706,1,Bangladesh,India,Bangladesh,Bangladesh,1571
2016-01-29T00:00:00Z,Sri Lanka halts kidney transplants,The Times (London),7499,1,"India, Sri Lanka",India,"India, Sri Lanka",Sri Lanka,1606
2016-03-15T00:00:00Z,Kidney selling racket busted,The Times of India (TOI),7679,1,"India, Sri Lanka","India, Sri Lanka","India, Sri Lanka","Delhi, India, Sri Lanka",1615
2016-06-03T00:00:00Z,"Top hospital says it is 'victim of a well-orchestrated operation to cheat patients', probe shows gang's reach in Sri Lanka , Thailand",MailOnline,8175,1,"Delhi, India, West Bengal","India, Sri Lanka",India,India,1631
2016-06-29T00:00:00Z,Kidney recipient denied bail by the court,American Banking and Market News,8418,1,India,India,India,India,1678
2016-07-09T00:00:00Z,Kidney rackets rampant across India as crackdown proves difficult,Hindustan Times,8456,1,"India, Iran, Israel, Singapore","India, Iran, Israel, Singapore","India, Iran, Israel, Singapore",India,1688
2016-07-15T00:00:00Z,"Kidney sale nixed in nick of time at Powai hospital, 4 held",The Times of India (TOI),8481,1,India,India,India,India,1693
2016-07-18T00:00:00Z,COPS ON LOOKOUT - Donor who wasn't paid Rs 10L blew lid off scam,Times of India (Electronic Edition),8536,1,"Gujarat, India",India,India,India,1701
2016-08-01T00:00:00Z,Anand kidney selling racket: Doctor arrested from Delhi,The Times of India (TOI),8702,1,"India, Pakistan","India, Kuwait, Saudi Arabia",India,"India, Myanmar, Pakistan, Sri Lanka",1704
2016-08-06T00:00:00Z,Illegal organ transplant,Pakistan Observer,8728,1,"Australia, Egypt, Sri Lanka","Australia, China, Egypt, India, Pakistan, Philippines, Sri Lanka, Syria","Egypt, Sri Lanka","Australia, Egypt, India, Sri Lanka",1712
2017-01-24T00:00:00Z,24 captives rescued as they wait for trafficking gang to take their kidneys,The Evening Standard (London),9876,1,Pakistan,"Pakistan, United Kingdom",Pakistan,Pakistan,1887
2017-04-30T00:00:00Z,FIA busts illegal organ trade gang in Lahore,Newstex Blogs,10563,1,"Oman, Pakistan","Canada, India, Oman, Pakistan","Oman, Pakistan",Pakistan,1932
2017-06-27T00:00:00Z,"Wealth, poverty propping up Pakistan 's illegal kidney trade",Newstex Blogs,10990,1,"Oman, Pakistan",Oman,"Oman, Pakistan",Pakistan,2066
2017-07-07T00:00:00Z,Call for action to stop transplant tourism after Irishman got kidney,The Times (London),11099,1,Pakistan,Pakistan,Pakistan,Pakistan,2068
2017-07-21T00:00:00Z,Hiranandani Hospital kidney racket: Three suspects to be questioned,Indian Express,11186,1,Singh,Gujarat,India,India,2069
2017-07-28T00:00:00Z,Online kidney racket uses city hospital name for biz,The Times of India (TOI),11237,1,India,India,India,India,2071
2017-08-23T00:00:00Z,Medical staff involved in organ trafficking arrested in Egypt,AlArabiya.net,11443,1,Egypt,Egypt,Egypt,Egypt,2072
2017-09-09T00:00:00Z,Cops to tell Cairo hosp to stall kidney transplants,The Times of India (TOI),11519,1,Egypt,Egypt,Egypt,Egypt,2082
2017-09-11T00:00:00Z,"'12 patients, donors went to Cairo for kidney transplants'",The Times of India (TOI),11525,1,"Egypt, India",Egypt,"Egypt, India","Egypt, India",2087
2017-09-27T00:00:00Z,Illegal kidney transplant for Phagwara mayor's daughter at Rs. 40L,Global English (Middle East and North Africa Financial Network),11678,1,"Egypt, India","Egypt, India",Egypt,Egypt,2106
2017-10-08T00:00:00Z,Remand of suspects in illegal kidney transplant case extended,Dawn (Pakistan),11752,1,"Afghanistan, Oman, Pakistan","Afghanistan, Oman, Pakistan",Pakistan,Pakistan,2111
2018-01-06T00:00:00Z,Israeli mastermind behind organ trafficking ring is arrested in Cyprus,Newstex Blogs,12436,1,Israel,Israel,Israel,Kosovo,2136
2018-05-24T00:00:00Z,Kosovo doctors jailed for organ trafficking,Agence France Presse - English,13681,1,"Israel, Kazakhstan, Russia, Soviet Union, Turkey",Israel,"Israel, Kazakhstan, Russia, Turkey",Kosovo,2146
2019-01-20T00:00:00Z,Indian woman arrested over kidney selling racket in Sri Lanka,Ada Derana,16093,1,Sri Lanka,Singapore,Sri Lanka,Singapore,2176
2019-02-20T00:00:00Z,Delhi doctor handled international buyers,Times of India (Electronic Edition),16361,1,"India, Turkey","India, Sri Lanka, Turkey","India, Sri Lanka, Turkey","India, Sri Lanka, Turkey",2193
2019-05-04T00:00:00Z,CRUEL CUT OF A VILE TRADE,"The Advertiser/Sunday Mail (Adelaide, South Australia)",17254,1,"China, Egypt","Australia, Egypt","China, Egypt","China, Egypt",2204
2019-06-13T00:00:00Z,"Once victims, they are now kingpins Kidney racket",Hindustan Times Lucknow,17604,1,India,India,India,India,2217
2019-06-17T00:00:00Z,Record numbers flee to UK to escape organ harvesting gangs,The Daily Telegraph (London),17681,1,"China, Poland","Albania, Ethiopia, Iran, Vietnam","China, Poland",China,2224
2019-09-13T00:00:00Z,Bulgaria breaks up kidney trafficking ring,Agence France Presse - English,18459,1,"Bulgaria, Turkey",Turkey,Turkey,Turkey,2237
2021-01-19T00:00:00Z,From a hospital staff to an organ transplant racketeer..,Sambad English,22094,1,"Bangladesh, India",Bangladesh,"Bangladesh, India","Bangladesh, India",2287
2021-11-18T00:00:00Z,"Key accused in nat'l kidney racket was running clinic in Guwahati , held after 4-yr chase",The Times of India (TOI),24183,1,"Bangladesh, India",India,"Bangladesh, India",India,2334
2022-08-10T00:00:00Z,New Bill seeks to ban body organ sale,The Daily Monitor,30414,1,Sri Lanka,Japan,"America, India, Turkey, United Kingdom","America, Bulgaria, India, Kyrgyzstan, Sri Lanka, United Kingdom",2399
